No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,full_date,pm25_ispu,pm10_ispu,so2_ispu,co_ispu,o3_ispu,no2_ispu
1,2013,3,1,0,9.0,9.0,3.0,17.0,300.0,89.0,-0.5,1024.5,-21.4,0.0,NNW,5.7,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2,2013,3,1,1,4.0,4.0,3.0,16.0,300.0,88.0,-0.7,1025.1,-22.1,0.0,NW,3.9,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
6,2013,3,1,5,4.0,4.0,9.0,25.0,300.0,78.0,-2.4,1027.5,-21.3,0.0,NW,2.4,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
7,2013,3,1,6,5.0,5.0,10.0,29.0,400.0,67.0,-2.5,1028.2,-20.4,0.0,NW,2.2,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
8,2013,3,1,7,3.0,6.0,12.0,40.0,400.0,52.0,-1.4,1029.5,-20.4,0.0,NNW,3.0,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
9,2013,3,1,8,3.0,6.0,12.0,41.0,500.0,54.0,-0.3,1030.4,-21.2,0.0,NW,4.6,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
10,2013,3,1,9,3.0,6.0,9.0,31.0,400.0,69.0,0.4,1030.5,-23.3,0.0,N,5.5,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
11,2013,3,1,10,3.0,6.0,7.0,19.0,300.0,82.0,1.4,1030.2,-22.5,0.0,N,5.2,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
12,2013,3,1,11,6.0,6.0,7.0,19.0,400.0,83.0,2.9,1029.8,-22.9,0.0,NNW,5.3,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
13,2013,3,1,12,3.0,6.0,6.0,18.0,300.0,86.0,4.0,1028.6,-21.2,0.0,W,4.6,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
14,2013,3,1,13,3.0,6.0,5.0,16.0,300.0,91.0,5.0,1027.8,-21.2,0.0,NW,4.5,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
15,2013,3,1,14,3.0,6.0,5.0,16.0,300.0,92.0,6.2,1027.6,-22.2,0.0,NW,4.0,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
16,2013,3,1,15,3.0,10.0,5.0,17.0,300.0,92.0,6.0,1027.7,-21.3,0.0,NNW,2.1,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
17,2013,3,1,16,9.0,17.0,6.0,19.0,300.0,91.0,5.6,1027.7,-20.7,0.0,N,1.8,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
18,2013,3,1,17,9.0,22.0,9.0,21.0,400.0,87.0,4.4,1028.2,-20.9,0.0,N,3.5,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
19,2013,3,1,18,11.0,23.0,8.0,28.0,400.0,79.0,3.2,1029.4,-20.3,0.0,NNW,0.5,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
20,2013,3,1,19,13.0,17.0,12.0,42.0,600.0,63.0,3.0,1030.1,-19.7,0.0,N,1.1,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
21,2013,3,1,20,5.0,13.0,9.0,38.0,500.0,64.0,1.6,1031.3,-19.0,0.0,ENE,1.2,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
22,2013,3,1,21,15.0,17.0,13.0,51.0,600.0,48.0,0.8,1032.4,-19.7,0.0,NE,1.0,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
23,2013,3,1,22,19.0,21.0,17.0,60.0,700.0,36.0,0.1,1032.9,-19.2,0.0,ENE,1.8,Dongsi,2013-03-01,54.3859649122807,0.0,0.0,0.0,0.0,0.0
24,2013,3,1,23,8.0,14.0,16.0,58.0,600.0,39.0,-0.5,1032.8,-19.7,0.0,NE,2.1,Dongsi,2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
25,2013,3,2,0,4.0,11.0,11.0,45.0,500.0,52.0,-0.7,1033.0,-18.3,0.0,E,0.6,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
26,2013,3,2,1,3.0,6.0,11.0,43.0,500.0,53.0,-1.6,1033.2,-17.4,0.0,ENE,0.0,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
27,2013,3,2,2,3.0,6.0,10.0,36.0,400.0,61.0,-2.2,1032.9,-16.7,0.0,N,0.0,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
28,2013,3,2,3,3.0,6.0,11.0,41.0,500.0,46.0,-3.1,1032.6,-15.8,0.0,N,0.0,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
29,2013,3,2,4,3.0,6.0,9.0,31.0,400.0,60.0,-3.1,1032.7,-16.1,0.0,N,0.0,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
30,2013,3,2,5,9.0,9.0,10.0,32.0,500.0,62.0,-2.4,1032.1,-18.1,0.0,NNE,0.8,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
31,2013,3,2,6,3.0,6.0,15.0,59.0,600.0,30.0,-2.3,1031.3,-18.4,0.0,N,1.5,Dongsi,2013-03-02,0.0,0.0,0.0,0.0,0.0,0.0
